,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
191,100000,1,1,1000,TRUE,7,ignore,2.207437891,,,24,170.0446165
192,100000,1,1,1000,TRUE,7,embed,1.254867878,,,19,192.5792842
193,100000,1,1,1000,TRUE,8,ohe,1.410546896,,,16,141.8641648
194,100000,1,1,1000,TRUE,8,lmm,1.168913347,1.152365327,0.974943161,44,735.6611502
195,100000,1,1,1000,TRUE,8,ignore,2.141348278,,,31,218.0382223
196,100000,1,1,1000,TRUE,8,embed,1.278721669,,,25,255.4490354
197,100000,1,1,1000,TRUE,9,ohe,1.312578567,,,17,150.3177602
198,100000,1,1,1000,TRUE,9,lmm,1.161303531,1.132130027,1.010158062,49,815.6452799
199,100000,1,1,1000,TRUE,9,ignore,2.192774973,,,19,135.6565247
200,100000,1,1,1000,TRUE,9,embed,1.38547524,,,16,153.6444516
201,100000,1,1,10000,TRUE,0,ohe,1.763887619,,,14,260.8904071
202,100000,1,1,10000,TRUE,0,lmm,1.237741242,1.118643284,1.014232278,81,1499.053896
203,100000,1,1,10000,TRUE,0,ignore,2.189772185,,,25,175.6734152
204,100000,1,1,10000,TRUE,0,embed,1.698007658,,,14,144.971065
205,100000,1,1,10000,TRUE,1,ohe,1.635803149,,,13,241.3187394
206,100000,1,1,10000,TRUE,1,lmm,1.221685173,1.113666177,1.022150636,53,983.3408735
207,100000,1,1,10000,TRUE,1,ignore,2.178520877,,,19,135.316792
208,100000,1,1,10000,TRUE,1,embed,1.760353803,,,15,152.9218373
209,100000,1,1,10000,TRUE,2,ohe,1.668686991,,,13,229.6025355
210,100000,1,1,10000,TRUE,2,lmm,1.254118104,1.099061131,1.007675409,50,888.7033725
211,100000,1,1,10000,TRUE,2,ignore,2.095715814,,,42,297.0042207
212,100000,1,1,10000,TRUE,2,embed,1.639779429,,,14,143.0535352
213,100000,1,1,10000,TRUE,3,ohe,1.674653734,,,13,234.2730541
214,100000,1,1,10000,TRUE,3,lmm,1.363373332,1.136932015,1.048461437,44,813.9391751
215,100000,1,1,10000,TRUE,3,ignore,2.206326319,,,15,106.1414902
216,100000,1,1,10000,TRUE,3,embed,1.697436731,,,15,161.7969458
217,100000,1,1,10000,TRUE,4,ohe,1.744514248,,,13,233.7856243
218,100000,1,1,10000,TRUE,4,lmm,1.313471617,1.159267664,1.006017804,71,1319.814897
219,100000,1,1,10000,TRUE,4,ignore,2.175715401,,,31,220.8828657
220,100000,1,1,10000,TRUE,4,embed,1.6844066,,,13,136.1272631
221,100000,1,1,10000,TRUE,5,ohe,1.636726825,,,13,222.8278408
222,100000,1,1,10000,TRUE,5,lmm,1.250973913,1.117881417,0.993614554,39,720.236089
223,100000,1,1,10000,TRUE,5,ignore,2.112196787,,,90,631.902976
224,100000,1,1,10000,TRUE,5,embed,1.640631055,,,14,148.0074308
225,100000,1,1,10000,TRUE,6,ohe,1.689357323,,,14,253.5198443
226,100000,1,1,10000,TRUE,6,lmm,1.315131017,1.13566649,1.040397525,39,725.6900434
227,100000,1,1,10000,TRUE,6,ignore,2.137703282,,,34,239.5905669
228,100000,1,1,10000,TRUE,6,embed,1.670775286,,,15,149.5536528
