,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
131,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,lmm,1.227239433,1.118242,0.32149732,2.686101,1.7195541,0.32776904,0.14710033,57,203.2307801
132,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,lmm,1.216273656,1.118202,0.30395794,2.6682944,1.5569686,0.2848895,0.2740232,48,172.2436292
133,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,lmm,1.281200452,1.1435732,0.30550358,2.7409618,1.8675175,0.32484248,0.029398458,41,146.576272
134,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,lmm,1.273636239,1.1437825,0.30063537,2.7456284,1.7470977,0.29877368,0.16766033,52,188.5841496
135,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,lmm,1.2555105,1.1317861,0.30049974,2.8438652,2.5269344,0.34274846,-0.028693995,33,123.8951585
136,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,lmm,1.385992841,1.2026098,0.30500087,2.8288212,2.793518,0.32132548,0.2836383,16,64.91620398
137,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,lmm,1.214877195,1.1055343,0.32292157,2.849602,2.8569512,0.23624669,0.6084641,67,241.0777004
138,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,lmm,1.253349935,1.1450906,0.33208904,2.6737695,2.5378783,0.2072353,0.644448,21,81.16425085
139,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,lmm,1.239859095,1.1057184,0.305723,3.0383985,2.8531067,0.24917743,0.38735232,55,197.620559
140,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,lmm,1.219684109,1.1494987,0.29137078,2.8434045,3.1756282,0.45031622,0.053724155,47,169.9761755
141,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,lmm,1.281040952,1.136272,3.037168,0.4053272,0.37216306,0.30979678,0.084932975,53,190.9198067
142,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,lmm,1.269634814,1.1115242,2.982852,0.52801627,0.060484078,0.30222023,-0.35071048,98,349.7678123
143,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,lmm,1.286006381,1.1454989,2.993505,0.35558936,0.39335635,0.32962808,0.010860836,38,143.4863167
144,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,lmm,1.354963774,1.1292944,3.0196083,0.18744567,1.1393982,0.3447048,0.13823242,55,201.5840924
145,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,lmm,1.262756562,1.132557,2.9959133,0.247609,0.86096007,0.5002432,0.058187235,46,165.3527541
146,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,lmm,1.270825523,1.114896,2.9545448,0.48610726,2.23349,0.3364133,0.24027076,43,155.0320239
