,mode,N,sig2e,sig2b0,sig2b1,q0,spatial_embed_out_dim,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,lmm,1.324900273,1.30147779,0.654229343,,16,98.0288918
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ignore,1.285119461,,,,23,38.91054535
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,embed,1.618330646,,,,15,41.38599443
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,ohe,1.565852038,,,,13,95.32658792
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,lmm,1.211076899,1.221101284,0.770007432,,90,507.5317731
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,ignore,1.294730517,,,,33,56.19496298
,spatial_embedded,100000,1,0.1,0.1,10000,1000,1,embed,1.609714424,,,,14,39.34785891
,spatial_embedded,100000,1,0.1,1,10000,1000,0,ohe,1.557837424,,,,13,96.1245544
,spatial_embedded,100000,1,0.1,1,10000,1000,0,lmm,1.28513668,1.276346922,0.57056278,,24,141.958014
,spatial_embedded,100000,1,0.1,1,10000,1000,0,ignore,1.254376438,,,,24,40.2426126
,spatial_embedded,100000,1,0.1,1,10000,1000,0,embed,1.6117493,,,,16,44.25703621
,spatial_embedded,100000,1,0.1,1,10000,1000,1,ohe,1.518820134,,,,12,87.98401904
,spatial_embedded,100000,1,0.1,1,10000,1000,1,lmm,1.262392328,1.275857091,0.648945451,,20,119.5342727
,spatial_embedded,100000,1,0.1,1,10000,1000,1,ignore,1.249384767,,,,23,39.32749295
,spatial_embedded,100000,1,0.1,1,10000,1000,1,embed,1.596859516,,,,17,46.69765139
,spatial_embedded,100000,1,0.1,10,10000,1000,0,ohe,1.565858943,,,,12,91.08958316
,spatial_embedded,100000,1,0.1,10,10000,1000,0,lmm,1.121848734,1.119698405,0.092488743,,59,334.335876
,spatial_embedded,100000,1,0.1,10,10000,1000,0,ignore,1.260583271,,,,36,59.56509304
,spatial_embedded,100000,1,0.1,10,10000,1000,0,embed,1.707417012,,,,15,42.00902081
