,mode,N,sig2e,sig2b0,sig2b1,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
184,spatial_embedded,10000,1,0.1,0.1,1000,0,ohe,2.146496764,,,,36,10.36570597
185,spatial_embedded,10000,1,0.1,0.1,1000,0,lmm,1.272537235,1.354559064,0.801814139,,72,45.96486425
186,spatial_embedded,10000,1,0.1,0.1,1000,0,ignore,1.326334805,,,,76,16.31726074
187,spatial_embedded,10000,1,0.1,0.1,1000,0,embed,2.215410546,,,,69,22.15808177
188,spatial_embedded,10000,1,0.1,0.1,1000,1,ohe,1.956997864,,,,29,8.433017731
189,spatial_embedded,10000,1,0.1,0.1,1000,1,lmm,1.253390928,1.292575836,0.651881158,,67,43.63906646
190,spatial_embedded,10000,1,0.1,0.1,1000,1,ignore,1.33738842,,,,60,13.32343698
191,spatial_embedded,10000,1,0.1,0.1,1000,1,embed,2.013787604,,,,73,24.10648561
192,spatial_embedded,10000,1,0.1,0.1,1000,2,ohe,1.827528543,,,,23,7.111155272
193,spatial_embedded,10000,1,0.1,0.1,1000,2,lmm,1.302067321,1.285143256,0.663862228,,72,45.81264663
194,spatial_embedded,10000,1,0.1,0.1,1000,2,ignore,1.397237897,,,,78,16.8523438
195,spatial_embedded,10000,1,0.1,0.1,1000,2,embed,1.882351882,,,,79,25.23167157
196,spatial_embedded,10000,1,0.1,0.1,1000,3,ohe,2.125212701,,,,30,8.281549454
197,spatial_embedded,10000,1,0.1,0.1,1000,3,lmm,1.342193744,1.285213351,0.710433602,,64,40.67031574
198,spatial_embedded,10000,1,0.1,0.1,1000,3,ignore,1.431439562,,,,89,17.91479993
199,spatial_embedded,10000,1,0.1,0.1,1000,3,embed,2.016115246,,,,41,13.19308043
200,spatial_embedded,10000,1,0.1,0.1,1000,4,ohe,1.934634486,,,,40,10.59241486
201,spatial_embedded,10000,1,0.1,0.1,1000,4,lmm,1.304128181,1.288075924,0.675620019,,55,38.35294724
202,spatial_embedded,10000,1,0.1,0.1,1000,4,ignore,1.334523927,,,,75,16.42398047
203,spatial_embedded,10000,1,0.1,0.1,1000,4,embed,1.898870173,,,,58,20.32768607
204,spatial_embedded,10000,1,0.1,1,1000,0,ohe,2.007727015,,,,27,8.568613529
205,spatial_embedded,10000,1,0.1,1,1000,0,lmm,1.307412244,1.27752459,0.654075086,,71,46.85289812
206,spatial_embedded,10000,1,0.1,1,1000,0,ignore,1.358961394,,,,66,15.00947475
207,spatial_embedded,10000,1,0.1,1,1000,0,embed,2.064121095,,,,85,28.87733698
208,spatial_embedded,10000,1,0.1,1,1000,1,ohe,1.855793478,,,,30,9.038138866
209,spatial_embedded,10000,1,0.1,1,1000,1,lmm,1.248675974,1.387220144,0.746741474,,42,29.45706081
210,spatial_embedded,10000,1,0.1,1,1000,1,ignore,1.306028269,,,,68,14.4395318
211,spatial_embedded,10000,1,0.1,1,1000,1,embed,1.943728925,,,,67,22.00727081
212,spatial_embedded,10000,1,0.1,1,1000,2,ohe,1.911148834,,,,34,10.19880152
213,spatial_embedded,10000,1,0.1,1,1000,2,lmm,1.256544949,1.276860833,0.621495426,,68,46.0487628
214,spatial_embedded,10000,1,0.1,1,1000,2,ignore,1.357506914,,,,68,15.48780179
215,spatial_embedded,10000,1,0.1,1,1000,2,embed,1.95725193,,,,69,23.58902407
216,spatial_embedded,10000,1,0.1,1,1000,3,ohe,1.906244856,,,,40,11.3669529
217,spatial_embedded,10000,1,0.1,1,1000,3,lmm,1.197782411,1.250323892,0.698074341,,62,39.47192502
218,spatial_embedded,10000,1,0.1,1,1000,3,ignore,1.346891128,,,,72,15.50099063
219,spatial_embedded,10000,1,0.1,1,1000,3,embed,2.183820692,,,,87,26.30133438
220,spatial_embedded,10000,1,0.1,1,1000,4,ohe,1.943552254,,,,31,8.904957771
221,spatial_embedded,10000,1,0.1,1,1000,4,lmm,1.200975761,1.310707569,0.633507252,,55,35.91504431
222,spatial_embedded,10000,1,0.1,1,1000,4,ignore,1.313135326,,,,73,15.22345161
223,spatial_embedded,10000,1,0.1,1,1000,4,embed,1.924945067,,,,88,26.71473384
224,spatial_embedded,10000,1,0.1,10,1000,0,ohe,1.917286082,,,,27,7.99186492
225,spatial_embedded,10000,1,0.1,10,1000,0,lmm,1.236662535,1.283978224,0.543273985,,64,41.22006702
226,spatial_embedded,10000,1,0.1,10,1000,0,ignore,1.326431342,,,,72,15.45056462
227,spatial_embedded,10000,1,0.1,10,1000,0,embed,2.207258541,,,,61,19.19440436
228,spatial_embedded,10000,1,0.1,10,1000,1,ohe,2.028929654,,,,22,7.157630444
229,spatial_embedded,10000,1,0.1,10,1000,1,lmm,1.268103805,1.194623828,0.639818251,,63,42.5997231
230,spatial_embedded,10000,1,0.1,10,1000,1,ignore,1.292852472,,,,65,14.39795756
231,spatial_embedded,10000,1,0.1,10,1000,1,embed,2.040929652,,,,88,28.38112688
232,spatial_embedded,10000,1,0.1,10,1000,2,ohe,2.001041816,,,,33,10.1214304
233,spatial_embedded,10000,1,0.1,10,1000,2,lmm,1.109131438,1.274359345,0.559077144,,71,47.00876379
234,spatial_embedded,10000,1,0.1,10,1000,2,ignore,1.201981136,,,,73,16.97038102
