,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
247,intercepts,100000,1,10,10000,1,embed,2.039361009,,,16,27.26076698
248,intercepts,100000,1,10,10000,1,ignore,11.28867956,,,28,42.07644629
249,intercepts,100000,1,10,10000,1,lme4,3.289518403,2.931976862,10.07145325,,1.034583092
250,intercepts,100000,1,10,10000,1,lmm,1.287245285,1.1204779,9.952737,45,146.3736722
251,intercepts,100000,1,10,10000,1,menet,3.616459261,2.926912303,,300,3052.746089
252,intercepts,100000,1,10,10000,1,ohe,2.552431895,,,14,101.4213564
253,intercepts,100000,1,10,10000,2,embed,2.166748,,,21,42.26568031
254,intercepts,100000,1,10,10000,2,ignore,11.28235653,,,22,27.70659971
255,intercepts,100000,1,10,10000,2,lme4,3.38331772,2.885458046,10.03735495,,0.84110117
256,intercepts,100000,1,10,10000,2,lmm,1.328573841,1.1633079,9.927453,42,138.0330529
257,intercepts,100000,1,10,10000,2,menet,2.50682486,1.796956624,,300,3050.709529
258,intercepts,100000,1,10,10000,2,ohe,2.303155589,,,17,108.7301857
259,intercepts,100000,1,10,10000,3,embed,2.036275856,,,24,40.9401958
260,intercepts,100000,1,10,10000,3,ignore,11.15439632,,,21,26.01334786
261,intercepts,100000,1,10,10000,3,lme4,3.375028641,2.925519299,9.985210846,,0.873999119
262,intercepts,100000,1,10,10000,3,lmm,1.290570867,1.1012683,9.801627,59,211.6352787
263,intercepts,100000,1,10,10000,3,menet,3.563537977,2.380762674,,300,3054.353688
264,intercepts,100000,1,10,10000,3,ohe,2.34756029,,,16,108.2068722
265,intercepts,100000,1,10,10000,4,embed,2.10961035,,,18,30.5843215
266,intercepts,100000,1,10,10000,4,ignore,11.40623598,,,38,46.16912889
267,intercepts,100000,1,10,10000,4,lme4,3.299438101,2.907797429,9.846032939,,1.027127981
268,intercepts,100000,1,10,10000,4,lmm,1.28006335,1.1242944,10.082201,40,132.3717303
269,intercepts,100000,1,10,10000,4,menet,2.650587584,2.176130609,,300,3053.150229
270,intercepts,100000,1,10,10000,4,ohe,2.472020081,,,15,100.4779341
