,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
173,spatial,100000,1,1,0.1,10000,2,ignore,2.230741339,,,,19,24.84168005
174,spatial,100000,1,1,0.1,10000,2,embed,1.728365934,,,,22,37.92594314
175,spatial,100000,1,1,0.1,10000,3,ohe,1.678504605,,,,15,90.7387116
176,spatial,100000,1,1,0.1,10000,3,ignore,2.228224636,,,,29,37.20182371
177,spatial,100000,1,1,0.1,10000,3,embed,1.700098743,,,,18,31.10713291
178,spatial,100000,1,1,0.1,10000,4,ohe,1.680580533,,,,15,90.6121707
179,spatial,100000,1,1,0.1,10000,4,ignore,2.18474572,,,,35,45.12208247
180,spatial,100000,1,1,0.1,10000,4,embed,1.734778093,,,,18,31.90122128
181,spatial,100000,1,1,1,100,0,ohe,1.294984383,,,,26,34.70070672
182,spatial,100000,1,1,1,100,0,ignore,1.47442213,,,,73,92.75612617
183,spatial,100000,1,1,1,100,0,embed,1.284833877,,,,17,29.94144154
184,spatial,100000,1,1,1,100,1,ohe,1.25609523,,,,18,24.46249223
185,spatial,100000,1,1,1,100,1,ignore,1.444791463,,,,51,64.74875593
186,spatial,100000,1,1,1,100,1,embed,1.287602849,,,,24,41.02273083
187,spatial,100000,1,1,1,100,2,ohe,1.220844198,,,,25,33.21019149
188,spatial,100000,1,1,1,100,2,ignore,1.499760377,,,,78,97.83903027
189,spatial,100000,1,1,1,100,2,embed,1.344938356,,,,21,36.03679705
190,spatial,100000,1,1,1,100,3,ohe,1.327415338,,,,19,25.8056457
191,spatial,100000,1,1,1,100,3,ignore,1.427705001,,,,122,151.8817005
192,spatial,100000,1,1,1,100,3,embed,1.244048739,,,,95,158.4056363
193,spatial,100000,1,1,1,100,4,ohe,1.315938814,,,,23,30.68366599
194,spatial,100000,1,1,1,100,4,ignore,1.496731353,,,,46,58.17160797
195,spatial,100000,1,1,1,100,4,embed,1.21172889,,,,27,46.70997834
196,spatial,100000,1,1,1,1000,0,ohe,1.376543471,,,,17,30.84707689
197,spatial,100000,1,1,1,1000,0,ignore,1.706706703,,,,77,96.5773747
198,spatial,100000,1,1,1,1000,0,embed,1.391473538,,,,19,33.70156741
199,spatial,100000,1,1,1,1000,1,ohe,1.35234934,,,,17,30.68944383
200,spatial,100000,1,1,1,1000,1,ignore,1.746115601,,,,43,54.64273763
201,spatial,100000,1,1,1,1000,1,embed,1.311396137,,,,36,61.28618741
202,spatial,100000,1,1,1,1000,2,ohe,1.314011513,,,,22,38.19089341
203,spatial,100000,1,1,1,1000,2,ignore,1.621321312,,,,75,94.75165915
204,spatial,100000,1,1,1,1000,2,embed,1.284093887,,,,24,41.58331037
205,spatial,100000,1,1,1,1000,3,ohe,1.32174535,,,,16,29.53072906
206,spatial,100000,1,1,1,1000,3,ignore,1.669263982,,,,83,105.6539626
207,spatial,100000,1,1,1,1000,3,embed,1.370232292,,,,23,40.01302457
208,spatial,100000,1,1,1,1000,4,ohe,1.296756334,,,,18,32.52199078
209,spatial,100000,1,1,1,1000,4,ignore,1.615878412,,,,52,66.65130115
210,spatial,100000,1,1,1,1000,4,embed,1.336119812,,,,24,42.00362372
211,spatial,100000,1,1,1,10000,0,ohe,1.667139781,,,,15,92.12507606
212,spatial,100000,1,1,1,10000,0,ignore,1.644532286,,,,54,69.05357885
213,spatial,100000,1,1,1,10000,0,embed,1.715945959,,,,17,30.10249782
214,spatial,100000,1,1,1,10000,1,ohe,1.67725907,,,,14,88.67132092
215,spatial,100000,1,1,1,10000,1,ignore,1.78885505,,,,70,89.36755538
216,spatial,100000,1,1,1,10000,1,embed,1.767892809,,,,16,28.3697803
217,spatial,100000,1,1,1,10000,2,ohe,1.666983669,,,,14,88.53013468
218,spatial,100000,1,1,1,10000,2,ignore,1.702371473,,,,42,53.384902
219,spatial,100000,1,1,1,10000,2,embed,1.732002744,,,,19,33.22396541
220,spatial,100000,1,1,1,10000,3,ohe,1.675251801,,,,15,91.331949
221,spatial,100000,1,1,1,10000,3,ignore,1.652744923,,,,63,80.14507866
222,spatial,100000,1,1,1,10000,3,embed,1.764205609,,,,18,31.73328662
223,spatial,100000,1,1,1,10000,4,ohe,1.705889183,,,,15,89.97236061
224,spatial,100000,1,1,1,10000,4,ignore,1.729086589,,,,105,131.5190673
225,spatial,100000,1,1,1,10000,4,embed,1.691348587,,,,17,29.6332736
226,spatial,100000,1,1,10,100,0,ohe,1.263256087,,,,21,28.16857076
227,spatial,100000,1,1,10,100,0,ignore,1.22223431,,,,22,28.89621997
228,spatial,100000,1,1,10,100,0,embed,1.347420114,,,,19,33.06516767
229,spatial,100000,1,1,10,100,1,ohe,1.311255402,,,,16,21.71280289
230,spatial,100000,1,1,10,100,1,ignore,1.262125998,,,,58,73.1143899
231,spatial,100000,1,1,10,100,1,embed,1.178543341,,,,47,79.85694385
232,spatial,100000,1,1,10,100,2,ohe,1.257061173,,,,19,25.86711121
233,spatial,100000,1,1,10,100,2,ignore,1.220459905,,,,27,34.64718819
234,spatial,100000,1,1,10,100,2,embed,1.302623219,,,,22,38.12460542
235,spatial,100000,1,1,10,100,3,ohe,1.289591687,,,,32,42.73712444
236,spatial,100000,1,1,10,100,3,ignore,1.29333632,,,,32,40.90943742
237,spatial,100000,1,1,10,100,3,embed,1.288160097,,,,23,39.23916793
238,spatial,100000,1,1,10,100,4,ohe,1.30252096,,,,18,24.39707947
239,spatial,100000,1,1,10,100,4,ignore,1.306497509,,,,38,47.90188837
240,spatial,100000,1,1,10,100,4,embed,1.332545466,,,,23,39.91412854
241,spatial,100000,1,1,10,1000,0,ohe,1.322140716,,,,20,35.21825886
242,spatial,100000,1,1,10,1000,0,ignore,1.339078951,,,,30,38.70424461
243,spatial,100000,1,1,10,1000,0,embed,1.374727084,,,,29,49.7608645
244,spatial,100000,1,1,10,1000,1,ohe,1.303984594,,,,23,39.27616763
245,spatial,100000,1,1,10,1000,1,ignore,1.427440602,,,,27,34.61015463
246,spatial,100000,1,1,10,1000,1,embed,1.244550723,,,,31,52.38338041
247,spatial,100000,1,1,10,1000,2,ohe,1.366041698,,,,19,33.87807798
248,spatial,100000,1,1,10,1000,2,ignore,1.295259312,,,,42,53.99874067
249,spatial,100000,1,1,10,1000,2,embed,1.310593153,,,,21,36.38130236
250,spatial,100000,1,1,10,1000,3,ohe,1.361603321,,,,20,35.9958806
251,spatial,100000,1,1,10,1000,3,ignore,1.362120026,,,,31,40.2625463
252,spatial,100000,1,1,10,1000,3,embed,1.261381723,,,,23,40.41415787
253,spatial,100000,1,1,10,1000,4,ohe,1.344688575,,,,15,28.5099647
254,spatial,100000,1,1,10,1000,4,ignore,1.300432333,,,,41,53.61585927
255,spatial,100000,1,1,10,1000,4,embed,1.314474706,,,,26,45.97565556
256,spatial,100000,1,1,10,10000,0,ohe,1.642766593,,,,13,85.68597341
257,spatial,100000,1,1,10,10000,0,ignore,1.354094715,,,,26,33.82125998
258,spatial,100000,1,1,10,10000,0,embed,1.7305746,,,,19,32.84230733
259,spatial,100000,1,1,10,10000,1,ohe,1.620601989,,,,14,87.64514422
260,spatial,100000,1,1,10,10000,1,ignore,1.277555145,,,,35,44.42511082
261,spatial,100000,1,1,10,10000,1,embed,1.699804735,,,,17,30.21937943
262,spatial,100000,1,1,10,10000,2,ohe,1.617658145,,,,13,84.9306674
263,spatial,100000,1,1,10,10000,2,ignore,1.31792017,,,,28,36.51452732
264,spatial,100000,1,1,10,10000,2,embed,1.653238435,,,,16,27.92221451
265,spatial,100000,1,1,10,10000,3,ohe,1.618329,,,,14,88.55578756
266,spatial,100000,1,1,10,10000,3,ignore,1.269920754,,,,40,50.81240821
267,spatial,100000,1,1,10,10000,3,embed,1.64483469,,,,16,27.88685393
268,spatial,100000,1,1,10,10000,4,ohe,1.603910599,,,,13,84.82033277
269,spatial,100000,1,1,10,10000,4,ignore,1.273702689,,,,56,70.44790435
270,spatial,100000,1,1,10,10000,4,embed,1.688938707,,,,16,28.04991555
271,spatial,100000,1,10,0.1,100,0,ohe,1.528859768,,,,28,36.95539141
272,spatial,100000,1,10,0.1,100,0,ignore,2.692877291,,,,87,109.7650261
273,spatial,100000,1,10,0.1,100,0,embed,1.707705174,,,,26,44.37179518
274,spatial,100000,1,10,0.1,100,1,ohe,1.621274233,,,,18,24.34876657
275,spatial,100000,1,10,0.1,100,1,ignore,2.678416581,,,,80,100.1770124
276,spatial,100000,1,10,0.1,100,1,embed,1.724428872,,,,55,92.42968011
277,spatial,100000,1,10,0.1,100,2,ohe,1.755597719,,,,29,38.65217137
278,spatial,100000,1,10,0.1,100,2,ignore,2.327104525,,,,69,87.22554326
279,spatial,100000,1,10,0.1,100,2,embed,1.782536025,,,,40,67.57294011
280,spatial,100000,1,10,0.1,100,3,ohe,1.612804099,,,,31,41.37426281
281,spatial,100000,1,10,0.1,100,3,ignore,2.925413008,,,,76,95.29485631
282,spatial,100000,1,10,0.1,100,3,embed,1.727465366,,,,62,104.5455818
283,spatial,100000,1,10,0.1,100,4,ohe,1.771314359,,,,24,31.98920631
284,spatial,100000,1,10,0.1,100,4,ignore,3.420911957,,,,120,151.3395052
285,spatial,100000,1,10,0.1,100,4,embed,1.647775885,,,,59,100.7574999
286,spatial,100000,1,10,0.1,1000,0,ohe,1.551012801,,,,19,33.6824255
287,spatial,100000,1,10,0.1,1000,0,ignore,8.253814459,,,,125,156.0903795
288,spatial,100000,1,10,0.1,1000,0,embed,1.689093733,,,,30,51.56874061
289,spatial,100000,1,10,0.1,1000,1,ohe,1.54220619,,,,37,61.66568661
290,spatial,100000,1,10,0.1,1000,1,ignore,7.94992227,,,,118,149.3810122
291,spatial,100000,1,10,0.1,1000,1,embed,1.694583797,,,,49,83.56108665
292,spatial,100000,1,10,0.1,1000,2,ohe,1.761036809,,,,16,29.41922998
293,spatial,100000,1,10,0.1,1000,2,ignore,8.533032905,,,,142,178.2575157
294,spatial,100000,1,10,0.1,1000,2,embed,2.158570678,,,,20,35.05510807
295,spatial,100000,1,10,0.1,1000,3,ohe,1.755664447,,,,17,31.32483816
296,spatial,100000,1,10,0.1,1000,3,ignore,8.305359979,,,,161,205.0324202
