id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
203,100000,1,10,100,TRUE,2,menet,2.432499068,2.531739628,,51,591.4395308
204,100000,1,10,100,TRUE,3,menet,16.1146378,16.6045596,,65,744.4172089
205,100000,1,10,100,TRUE,4,menet,8.489622196,8.79820441,,91,1065.62559
206,100000,1,10,1000,TRUE,0,menet,141.3280842,128.8997554,,14,142.0142255
207,100000,1,10,1000,TRUE,1,menet,227.4364683,127.4206788,,36,358.3501332
208,100000,1,10,1000,TRUE,2,menet,122.3679099,109.385971,,12,124.2699356
209,100000,1,10,1000,TRUE,3,menet,173.6467439,161.6210141,,12,123.3046544
210,100000,1,10,1000,TRUE,4,menet,153.8828787,136.4767084,,13,130.3049223
211,100000,1,10,10000,TRUE,0,menet,1962.226414,831.7466372,,38,431.0321119
212,100000,1,10,10000,TRUE,1,menet,4633.809806,1013.678592,,38,430.2791629
213,100000,1,10,10000,TRUE,2,menet,2524.656771,892.2342874,,31,350.4768512
214,100000,1,10,10000,TRUE,3,menet,2904.62079,1152.110334,,28,318.0228961
215,100000,1,10,10000,TRUE,4,menet,2377.890287,1047.906154,,25,283.5681975
216,100000,1,0.1,100,TRUE,0,ohe,1.235532924,,,51,277.1083071
217,100000,1,0.1,100,TRUE,1,ohe,1.229929736,,,32,174.2045572
218,100000,1,0.1,100,TRUE,2,ohe,1.269956747,,,17,93.08890224
219,100000,1,0.1,100,TRUE,0,ohe,1.176568349,,,19,108.5972805
220,100000,1,0.1,100,TRUE,1,ohe,1.176317197,,,26,139.6904895
221,100000,1,0.1,1000,TRUE,0,ohe,1.422318972,,,17,98.28322172
222,100000,1,0.1,1000,TRUE,1,ohe,1.595688207,,,22,127.4886754
223,100000,1,0.1,1000,TRUE,2,ohe,1.489408924,,,18,104.4778249
224,100000,1,0.1,1000,TRUE,0,ohe,1.527001045,,,21,122.5043254
225,100000,1,0.1,1000,TRUE,1,ohe,1.416421192,,,25,145.3834529
226,100000,1,0.1,10000,TRUE,0,ohe,3.321421719,,,18,189.4768918
227,100000,1,0.1,10000,TRUE,1,ohe,3.503742891,,,14,152.0355344
228,100000,1,0.1,10000,TRUE,2,ohe,3.235066347,,,23,232.7307711
229,100000,1,0.1,10000,TRUE,0,ohe,2.969954286,,,20,212.1238525
230,100000,1,0.1,10000,TRUE,1,ohe,3.197704639,,,26,256.0918815
231,100000,1,1,100,TRUE,0,ohe,1.283702612,,,29,160.0326056
232,100000,1,1,100,TRUE,1,ohe,1.379963523,,,44,237.2825673
233,100000,1,1,100,TRUE,2,ohe,1.36569073,,,19,104.2778018
234,100000,1,1,100,TRUE,0,ohe,1.243134983,,,32,235.5176241
235,100000,1,1,100,TRUE,1,ohe,1.317931592,,,26,239.3927937
236,100000,1,1,1000,TRUE,0,ohe,2.827947637,,,12,70.24433637
237,100000,1,1,1000,TRUE,1,ohe,1.939278742,,,28,168.1288497
238,100000,1,1,1000,TRUE,2,ohe,2.690422017,,,26,153.7287471
239,100000,1,1,1000,TRUE,0,ohe,2.536459498,,,29,173.0288019
240,100000,1,1,1000,TRUE,1,ohe,2.474305092,,,34,198.4512706
241,100000,1,1,10000,TRUE,0,ohe,11.42218156,,,39,379.6113632
242,100000,1,1,10000,TRUE,1,ohe,6.832218429,,,38,361.5706401
243,100000,1,1,10000,TRUE,0,ohe,10.86795057,,,27,276.0207818
244,100000,1,1,10000,TRUE,1,ohe,8.18121013,,,49,485.9624531
245,100000,1,10,100,TRUE,0,ohe,1.657247458,,,49,267.427794
246,100000,1,10,100,TRUE,1,ohe,1.604750734,,,38,201.8553011
247,100000,1,10,100,TRUE,2,ohe,1.533937808,,,20,106.3925183
248,100000,1,10,100,TRUE,0,ohe,2.208185175,,,32,179.2857113
249,100000,1,10,100,TRUE,1,ohe,1.674074911,,,39,210.9491434
250,100000,1,10,1000,TRUE,0,ohe,9.936953533,,,12,69.58281446
251,100000,1,10,1000,TRUE,1,ohe,11.25013717,,,11,64.87752938
252,100000,1,10,1000,TRUE,2,ohe,9.044070159,,,12,70.65733171
253,100000,1,10,1000,TRUE,0,ohe,7.679718037,,,13,76.28909016
254,100000,1,10,1000,TRUE,1,ohe,6.798449048,,,12,71.4709971
255,100000,1,10,10000,TRUE,0,ohe,60.70498336,,,36,457.7301614
256,100000,1,10,10000,TRUE,0,ohe,51.80824051,,,40,514.4864187
257,100000,1,10,10000,TRUE,0,ohe,67.66485796,,,35,452.0592525
