,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
146,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,lmm,1.349436585,1.1213087,3.0796752,0.5346322,0.15508534,0.39474344,0.0709543,44,161.5026968
147,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,lmm,1.371687616,1.1226771,3.0364027,0.55141205,0.9133038,0.37679815,-0.32502633,43,159.8145537
148,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,lmm,1.328312354,1.103063,3.1240327,0.7983153,1.4808435,0.24831808,-0.098938346,53,191.9005456
149,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,lmm,1.36463935,1.129098,2.960375,0.8870896,0.37086037,0.2826438,0.16459939,69,249.8749051
150,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,lmm,1.331752772,1.1191187,3.0941203,0.51033163,1.0040557,0.06748427,0.41686076,63,230.9526238
151,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,lmm,1.456967732,1.1618646,3.0073302,2.2946622,2.0096822,0.43019795,-0.3922402,29,109.3508334
152,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,lmm,1.4188429,1.120354,3.0368698,3.5875945,3.600671,0.33246413,-0.017863618,51,186.6949258
153,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,lmm,1.430036836,1.0935694,2.9292953,3.3211133,2.604843,0.2207776,0.6013838,67,242.8844066
154,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,lmm,1.379975728,1.1195937,2.95533,2.7741694,3.342815,0.46617246,-0.48750904,58,212.2464647
155,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,lmm,1.476469268,1.1318305,2.9964852,2.2818973,2.296629,0.27827123,0.18043949,37,136.358144
156,slopes,100000,1,3,3,3,10000,0.3,0.3,0,lmm,1.487284544,1.1141104,3.048389,2.6197326,3.2617028,0.30707136,0.17186253,41,151.2746801
157,slopes,100000,1,3,3,3,10000,0.3,0.3,1,lmm,1.39464203,1.1097957,3.0587928,2.057309,1.8472517,0.4278636,0.32084206,61,221.5085111
