,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
97,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,ohe,7.183216752,,,,,15,59.08946037
98,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,ignore,102.3517823,,,,,36,50.57239962
99,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,embed,3.493567283,,,,,45,113.1040254
100,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,lmm,1.836425458,0.162973285,4.19516325,0.767710209,0.736501515,17,73.11074996
101,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,ohe,8.966227129,,,,,14,56.86182904
102,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,ignore,209.5783944,,,,,23,33.55824924
103,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,embed,13.70413933,,,,,11,29.4526155
104,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,lmm,2.046808528,0.186334074,3.307570219,0.574624121,1.65091157,26,104.0824051
105,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,ohe,8.159012207,,,,,13,54.22822356
106,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,ignore,234.0518787,,,,,37,52.42687321
107,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,embed,14.68194139,,,,,12,31.21580982
108,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,lmm,2.058162309,0.174082398,3.675102949,0.568844497,1.84612608,25,100.9303722
109,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,ohe,5.525948342,,,,,19,69.03350496
110,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,ignore,213.4028924,,,,,22,31.23422098
111,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,embed,8.264616971,,,,,14,35.95583034
112,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,lmm,2.073123002,0.174917504,3.349668741,0.562257171,1.631750822,27,105.7989955
113,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,ohe,7.151315862,,,,,17,64.64167881
114,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,ignore,212.77192,,,,,23,32.3572247
115,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,embed,8.089203846,,,,,28,69.70095992
116,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,lmm,2.028973146,0.171860948,2.756063461,0.569877923,1.566482544,29,113.5934136
117,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,ohe,7.254579677,,,,,14,55.91864061
118,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,ignore,215.5317884,,,,,22,30.93330622
119,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,embed,12.4911529,,,,,12,30.83942795
120,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,lmm,2.065415567,0.179914296,3.087848663,0.585910618,1.860115647,25,98.89078498
121,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,ohe,7.059431257,,,,,15,58.44831753
122,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,ignore,141.6834931,,,,,31,42.94794106
123,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,embed,11.33131164,,,,,12,30.71576524
124,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,lmm,1.924379003,0.169121191,3.474589586,2.179850817,0.633943796,21,84.70602298
125,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,ohe,6.399769839,,,,,34,104.1430447
126,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,ignore,179.8867046,,,,,23,32.45140052
127,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,embed,10.01108719,,,,,12,30.8880713
128,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,lmm,1.96494069,0.159146726,3.638700724,2.218767643,0.530871928,25,98.7632401
129,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,ohe,9.971490686,,,,,12,51.4543345
130,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,ignore,159.6364152,,,,,36,49.74481654
131,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,embed,5.49761555,,,,,58,140.7960868
132,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,lmm,1.984987778,0.155875489,3.569491863,2.251514196,0.608171761,22,89.70382857
133,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,ohe,15.49250443,,,,,12,51.17638087
134,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,ignore,212.6090223,,,,,29,40.4874692
135,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,embed,12.09032843,,,,,12,30.93307757
136,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,lmm,1.870358638,0.148049712,3.891247272,2.386174202,0.512370646,26,103.66187
137,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,ohe,5.803962557,,,,,15,58.68395519
138,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,ignore,169.5055755,,,,,31,43.124125
139,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,embed,5.368267233,,,,,27,66.80836558
140,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,lmm,1.908649694,0.154679403,2.759649754,2.051037073,0.427501917,30,117.1326725
141,intercepts,100000,1,3,3,3,1000,2000,3000,0,ohe,12.51855255,,,,,14,56.46113849
142,intercepts,100000,1,3,3,3,1000,2000,3000,0,ignore,304.1188654,,,,,33,45.77548242
143,intercepts,100000,1,3,3,3,1000,2000,3000,0,embed,9.328651279,,,,,66,162.3193789
144,intercepts,100000,1,3,3,3,1000,2000,3000,0,lmm,2.258919233,0.187842444,3.305854321,2.044914246,1.454062343,33,126.0643544
145,intercepts,100000,1,3,3,3,1000,2000,3000,1,ohe,8.199910101,,,,,19,68.0491612
146,intercepts,100000,1,3,3,3,1000,2000,3000,1,ignore,304.6029435,,,,,21,30.12468052
147,intercepts,100000,1,3,3,3,1000,2000,3000,1,embed,20.14148534,,,,,13,33.44550657
148,intercepts,100000,1,3,3,3,1000,2000,3000,1,lmm,2.369646236,0.182935297,3.628632069,1.992001176,1.668757677,30,116.2579703
149,intercepts,100000,1,3,3,3,1000,2000,3000,2,ohe,13.35946096,,,,,13,53.86714578
150,intercepts,100000,1,3,3,3,1000,2000,3000,2,ignore,321.2243859,,,,,25,35.05661273
151,intercepts,100000,1,3,3,3,1000,2000,3000,2,embed,13.17938677,,,,,13,33.85458302
152,intercepts,100000,1,3,3,3,1000,2000,3000,2,lmm,2.249225296,0.198222816,2.836559772,2.322888613,1.598259091,31,119.1251395
153,intercepts,100000,1,3,3,3,1000,2000,3000,3,ohe,6.626209844,,,,,46,132.6619449
154,intercepts,100000,1,3,3,3,1000,2000,3000,3,ignore,326.7738441,,,,,24,33.7066946
155,intercepts,100000,1,3,3,3,1000,2000,3000,3,embed,19.14718823,,,,,12,30.88242984
156,intercepts,100000,1,3,3,3,1000,2000,3000,3,lmm,2.430890148,0.20787406,3.548525095,2.222260952,1.812325716,28,110.6880441
157,intercepts,100000,1,3,3,3,1000,2000,3000,4,ohe,14.3169384,,,,,13,54.12994337
158,intercepts,100000,1,3,3,3,1000,2000,3000,4,ignore,327.4957244,,,,,23,32.80340433
159,intercepts,100000,1,3,3,3,1000,2000,3000,4,embed,13.60041222,,,,,12,30.85484481
160,intercepts,100000,1,3,3,3,1000,2000,3000,4,lmm,2.215633719,0.194165871,2.923633575,1.786940336,1.33723402,38,156.7724299
161,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,lme4,3.136067339,2.93236957,4.884521653,10.08433717,14.95109442,0,3.915371895
162,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,lme4,3.1764302,2.89045563,4.953083353,11.04723734,16.99691748,0,4.267674923
163,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,lme4,3.094352807,2.880652066,5.188003217,8.668518073,16.6935179,0,3.84006691
164,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,lme4,3.099166389,2.882200612,5.129632953,12.40730268,17.31587156,0,3.417188168
165,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,lme4,3.109793745,2.872524024,6.244775823,9.057486183,15.68659547,0,3.619395971
166,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,lme4,3.118784086,2.900798215,4.735536363,8.611963795,169.2970648,0,5.478691101
167,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,lme4,3.127977978,2.859970555,5.080952301,11.44983728,151.2664599,0,7.388040781
168,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,lme4,3.111852909,2.883539156,5.730048364,10.79391325,180.2997967,0,5.794820786
169,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,lme4,3.146924387,2.902900978,5.724532472,7.862167359,134.0755341,0,7.558677912
170,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,lme4,3.147450015,2.954032782,4.732024292,9.804523674,175.3769528,0,6.225244045
171,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,lme4,3.124212162,2.896365374,4.83616239,89.76919948,16.34943963,0,5.529127121
172,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,lme4,3.073326263,2.881228928,4.44245648,102.4326209,15.22527364,0,8.031489849
173,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,lme4,3.102858444,2.91392493,4.355578067,119.378524,16.61800742,0,6.507710934
174,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,lme4,3.13870401,2.91504676,3.573800921,98.87984461,17.57207524,0,6.618041992
175,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,lme4,3.080409064,2.892013295,6.013974775,110.7881066,13.53832791,0,6.294496059
176,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,lme4,3.107240308,2.90435776,5.248298795,109.9222703,153.3631032,0,4.815854073
177,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,lme4,3.236970659,2.894019768,5.848882951,101.6243132,178.6353602,0,4.668506861
178,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,lme4,3.051280117,2.892673989,5.963895275,107.8932766,130.7075058,0,7.90890193
179,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,lme4,3.208083697,2.924667857,4.345307894,102.7212527,150.0436788,0,5.674319029
180,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,lme4,3.18640939,2.89568803,5.208037099,100.7570068,141.3240557,0,4.322995901
181,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,lme4,3.073520787,2.911077274,40.40890246,12.26375792,15.33748543,0,5.082325935
182,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,lme4,3.184081482,2.91369912,56.50385802,12.18154031,13.83647598,0,4.65632081
