,mode,N,sig2e,sig2b0,q0,deep,experiment,exp_type,auc,sig2e_est,sig2b_est0,n_epochs,time
45,glmm,100000,1.0,10.0,100,True,1,ohe,0.9226615110915654,,,34,213.93423056602478
46,glmm,100000,1.0,10.0,100,True,1,lmm,0.9126782874474049,,3.5832247734069824,22,582.8799443244934
47,glmm,100000,1.0,10.0,100,True,1,ignore,0.6728481014987118,,,26,161.35958695411682
48,glmm,100000,1.0,10.0,100,True,1,embed,0.9265318467913426,,,26,232.1592800617218
49,glmm,100000,1.0,10.0,100,True,2,ohe,0.9318506152224814,,,20,129.1978635787964
50,glmm,100000,1.0,10.0,100,True,2,lmm,0.9181683902679227,,3.3586642742156982,23,561.009360074997
51,glmm,100000,1.0,10.0,100,True,2,ignore,0.6501327749546768,,,27,171.68077421188354
52,glmm,100000,1.0,10.0,100,True,2,embed,0.9335923109822782,,,23,216.11333870887756
53,glmm,100000,1.0,10.0,100,True,3,ohe,0.930567371268659,,,20,131.2539827823639
54,glmm,100000,1.0,10.0,100,True,3,lmm,0.9176106989766287,,3.8642802238464355,16,390.6403124332428
55,glmm,100000,1.0,10.0,100,True,3,ignore,0.6754100735087938,,,33,208.7243549823761
56,glmm,100000,1.0,10.0,100,True,3,embed,0.9326112085480792,,,25,231.29331707954407
57,glmm,100000,1.0,10.0,100,True,4,ohe,0.9239031383344176,,,25,159.14067029953003
58,glmm,100000,1.0,10.0,100,True,4,lmm,0.9153293734061086,,3.6957855224609375,26,620.8969395160675
59,glmm,100000,1.0,10.0,100,True,4,ignore,0.6746773380545659,,,28,172.42492485046387
60,glmm,100000,1.0,10.0,100,True,4,embed,0.9272718192711182,,,17,152.19397616386414
61,glmm,100000,1.0,0.1,1000,True,0,ohe,0.7493405420452794,,,15,102.19455432891846
62,glmm,100000,1.0,0.1,1000,True,0,lmm,0.7943949095552474,,0.11748962849378586,16,473.0163781642914
63,glmm,100000,1.0,0.1,1000,True,0,ignore,0.7870919266145696,,,15,92.90441632270813
64,glmm,100000,1.0,0.1,1000,True,0,embed,0.7668613352434814,,,13,121.8607771396637
65,glmm,100000,1.0,0.1,1000,True,1,ohe,0.7484141223878026,,,13,87.28849291801453
66,glmm,100000,1.0,0.1,1000,True,1,lmm,0.7966172883552572,,0.09455765783786774,18,518.8220646381378
67,glmm,100000,1.0,0.1,1000,True,1,ignore,0.791739898486945,,,34,211.06961798667908
68,glmm,100000,1.0,0.1,1000,True,1,embed,0.7688661875825203,,,13,122.98841333389282
69,glmm,100000,1.0,0.1,1000,True,2,ohe,0.7486868027904244,,,14,95.86435174942017
70,glmm,100000,1.0,0.1,1000,True,2,lmm,0.7944817790439819,,0.10111427307128906,16,466.54916501045227
71,glmm,100000,1.0,0.1,1000,True,2,ignore,0.7878299302393883,,,22,136.39435338974
72,glmm,100000,1.0,0.1,1000,True,2,embed,0.770674949524099,,,15,139.1243839263916
73,glmm,100000,1.0,0.1,1000,True,3,ohe,0.7448034697487091,,,14,92.08764314651489
74,glmm,100000,1.0,0.1,1000,True,3,lmm,0.7931394189922226,,0.07360756397247314,29,809.2866291999817
75,glmm,100000,1.0,0.1,1000,True,3,ignore,0.789828207715182,,,19,117.39544534683228
76,glmm,100000,1.0,0.1,1000,True,3,embed,0.7647854306908046,,,14,123.86243844032288
77,glmm,100000,1.0,0.1,1000,True,4,ohe,0.7536051747140888,,,14,96.3591148853302
78,glmm,100000,1.0,0.1,1000,True,4,lmm,0.7954940128447558,,0.07870103418827057,34,957.9947643280029
79,glmm,100000,1.0,0.1,1000,True,4,ignore,0.7897923534258349,,,26,161.6853265762329
80,glmm,100000,1.0,0.1,1000,True,4,embed,0.7681038634221512,,,14,128.2207808494568
81,glmm,100000,1.0,1.0,1000,True,0,ohe,0.7916924981569883,,,13,89.8247287273407
82,glmm,100000,1.0,1.0,1000,True,0,lmm,0.8250274848427392,,0.8621730208396912,45,1238.457804441452
83,glmm,100000,1.0,1.0,1000,True,0,ignore,0.7719516347345596,,,17,108.81602454185486
84,glmm,100000,1.0,1.0,1000,True,0,embed,0.806920547118365,,,15,134.6907980442047
85,glmm,100000,1.0,1.0,1000,True,1,ohe,0.7943282994141436,,,15,101.2414538860321
86,glmm,100000,1.0,1.0,1000,True,1,lmm,0.8244731087410921,,0.9247930645942688,29,817.56804895401
87,glmm,100000,1.0,1.0,1000,True,1,ignore,0.7571021308116835,,,38,236.62196946144104
88,glmm,100000,1.0,1.0,1000,True,1,embed,0.8121712039025926,,,15,136.4405858516693
89,glmm,100000,1.0,1.0,1000,True,2,ohe,0.7889101761781976,,,15,100.90034866333008
90,glmm,100000,1.0,1.0,1000,True,2,lmm,0.823891811996656,,0.8669707179069519,27,771.499591588974
91,glmm,100000,1.0,1.0,1000,True,2,ignore,0.7682952359343833,,,18,110.14220786094666
92,glmm,100000,1.0,1.0,1000,True,2,embed,0.8013214444083876,,,18,166.75211000442505
93,glmm,100000,1.0,1.0,1000,True,3,ohe,0.7873041661751983,,,14,95.78041982650757
94,glmm,100000,1.0,1.0,1000,True,3,lmm,0.8227543852436483,,0.8137019872665405,43,1211.521136045456
95,glmm,100000,1.0,1.0,1000,True,3,ignore,0.761568247375722,,,37,233.274001121521
96,glmm,100000,1.0,1.0,1000,True,3,embed,0.8034351364144849,,,14,125.9774899482727
97,glmm,100000,1.0,1.0,1000,True,4,ohe,0.7987424754540504,,,15,101.27014064788818
98,glmm,100000,1.0,1.0,1000,True,4,lmm,0.8295918941120296,,0.8985855579376221,26,738.4404163360596
99,glmm,100000,1.0,1.0,1000,True,4,ignore,0.7636044782818844,,,18,113.6860818862915
100,glmm,100000,1.0,1.0,1000,True,4,embed,0.8121579557792351,,,16,153.21587753295898
