epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
63,1,49.6294632,1.0089533,1.6239884,2.5059776,2.876547,4.155869,-0.16039324,0.051898956,-0.063256264,-0.030350566,-0.3011608,0.30048138,-1.262539,50.2559166
64,1,49.63942719,1.0089424,1.5990745,2.5049758,2.8550146,4.1306615,-0.49642897,-0.03956127,-0.004311562,-0.17913747,-0.17871475,0.3248567,-1.0487723,50.37330246
65,1,49.58270264,0.98091215,1.5996293,2.465996,2.8421683,4.096676,-0.57149506,0.02447319,-0.21654892,-0.10668349,-0.07772827,0.3142557,-2.2367933,50.39410782
66,1,49.58766174,0.98180085,1.580049,2.4423137,2.8179586,4.0365953,-0.07683182,-0.5992489,-0.40253067,-0.2959801,-0.4712639,0.2922062,-4.71456,50.15911102
67,1,49.60514832,0.9701387,1.5466424,2.390106,2.7806027,4.0026402,-0.08368206,-0.19380951,-0.115091324,-0.10717952,-0.060112,0.31764266,-2.453538,50.06324387
68,1,49.56839752,0.94736123,1.5648947,2.3775132,2.755981,3.9806008,0.16880989,0.14393091,0.08964062,0.18817347,0.027711391,0.32387495,1.6236192,50.17385864
69,1,49.47139359,0.94024205,1.5342492,2.348946,2.712221,3.9181015,0.006747246,0.1590004,0.20008755,0.027880654,0.03995514,0.2902057,1.7517146,50.04696655
70,1,49.5084343,0.91417974,1.5207921,2.3500886,2.701421,3.9033449,-0.042921066,0.09591675,0.15544605,0.039053038,-0.13447571,0.36348182,0.12188974,50.1389122
71,1,49.44615173,0.9289443,1.5012594,2.3093991,2.6627507,3.8871744,0.20904231,0.17470264,0.13451672,0.15197933,0.08150864,0.298174,0.6606667,50.0827179
72,1,49.46529007,0.9078526,1.4811368,2.2702234,2.6520782,3.8310914,0.065971375,-0.15802383,0.06332207,-0.11795145,-0.08248901,0.3040721,0.4036702,49.99900055
73,1,49.44856262,0.90970737,1.4695464,2.2921476,2.6548622,3.7878764,-0.0242939,-0.4336853,-0.2626009,-0.24522638,-0.24037933,0.31862018,-2.2329357,49.98563385
74,1,49.38771439,0.87749,1.4659584,2.233059,2.6145446,3.7818742,0.35902786,0.05868244,-0.06752348,0.08048403,0.07283783,0.2809094,0.9662563,50.00764465
75,1,49.41790009,0.88463724,1.4246382,2.259176,2.5930388,3.7185318,0.12302971,-0.32592487,-0.13341218,-0.3318848,-0.33953094,0.3379938,-2.3279934,49.84306335
76,1,49.36322021,0.86627734,1.434484,2.2345026,2.5707905,3.7279193,-0.39638138,0.054855347,-0.081855774,-0.1696577,-0.0526371,0.31148696,-3.0465753,50.03939819
77,1,49.31071472,0.8900895,1.411306,2.1767967,2.5174415,3.638577,-0.14722633,-0.12682629,-0.001785278,-0.20530033,-0.11512184,0.31812215,-0.9440346,50.01711273
78,1,49.35074997,0.86530554,1.4200411,2.17668,2.502328,3.669905,-0.073384285,-0.6364088,-0.037932396,-0.12792587,-0.089653015,0.3070781,-2.0248072,50.12657166
79,1,49.33653641,0.8592945,1.3683722,2.1168516,2.444551,3.5728157,0.24914455,0.027612686,0.14490151,0.08582163,-0.050278664,0.3143412,0.4680273,49.98105621
80,1,49.28210068,0.8293594,1.3423107,2.1032033,2.4277723,3.5542939,-0.007400513,0.049261093,-0.040617943,-0.10461384,0.030797958,0.29271924,-0.018766463,49.94630814
81,1,49.26289749,0.8034819,1.3468988,2.063324,2.398106,3.5081363,0.045939445,0.072790146,0.11972046,-0.45654714,-0.024586678,0.2911656,-0.21847072,49.87353134
82,1,49.28791809,0.804678,1.3087356,2.0606859,2.3967943,3.4676313,0.040041924,0.11410141,0.014467239,-0.09678766,0.16981506,0.30081403,0.37104422,50.06122971
83,1,49.28355789,0.8156804,1.3099355,2.0867434,2.3700297,3.4605699,0.026826382,-0.39950562,-0.053214073,-0.16745263,0.14343834,0.29922768,0.6743835,49.87341309
84,1,49.25055695,0.8066558,1.3215405,2.069246,2.3808606,3.4759881,-0.31469727,-0.18321228,0.000468254,-0.19267225,-0.1522522,0.28144917,-0.45293415,50.01117706
85,1,49.19205856,0.7908301,1.3003267,2.022979,2.3268385,3.4088948,0.089066505,0.035999298,0.16965485,-0.13577208,-0.12715721,0.3156439,-0.07823408,49.99463272
0,2,656.1386108,2.2675946,2.3433325,2.5271523,2.521025,2.6684637,-10.326309,-10.437046,-11.795148,-9.8271055,-13.552698,1.5180951,-14.855318,167.1143036
1,2,117.4231949,3.0901055,3.2350132,3.564138,3.5812345,3.7880898,-1.850511,-2.0032537,-2.4683049,-1.7900679,-3.0507045,1.6154794,-1.6257905,87.90087128
2,2,76.00257111,3.9094312,4.204565,4.723682,4.7712536,5.0619273,-0.3553149,-0.4275759,-0.66821486,-0.29341632,-0.7255722,1.6269404,-0.010544978,68.58084106
3,2,64.54946136,4.469453,5.144978,6.0365047,6.0916233,6.561129,-0.017354414,-0.11757909,-0.21920787,-0.081030354,-0.30833986,1.2893368,0.10946025,61.88129044
4,2,59.81829453,4.614687,5.7773333,7.4228435,7.4721084,8.301264,-0.006594688,-0.21248831,-0.088104725,-0.08498952,-0.11094931,0.5251072,0.14844738,58.94477844
5,2,57.38445663,4.427882,5.9536386,8.24882,8.261096,9.580367,-0.03995037,-0.12636793,-0.115203515,-0.051754385,-0.14818382,0.41816235,-0.36380622,57.17086792
6,2,56.06199646,4.337632,5.984051,8.638446,8.665821,10.354523,-0.27547967,-0.06603426,-0.002954755,-0.018608421,-0.03603199,0.38077286,0.20850584,56.0430069
7,2,55.14543533,4.172726,5.8641496,8.672676,8.734534,10.64593,-0.009743005,0.023893476,-0.008037239,0.012060165,-0.025382701,0.3778502,0.47893995,55.28046417
8,2,54.55802155,4.027856,5.658026,8.61418,8.696646,10.652796,-0.40020204,-0.08045307,-0.008289963,-0.012063444,-0.020664811,0.33723748,-0.1889168,54.86832428
9,2,54.17611694,3.8996577,5.4574037,8.41074,8.525539,10.571452,-0.178981,-0.012292385,0.008416653,0.001485586,-0.05077398,0.36141977,0.17652807,54.32139969
