location,n
2650,2
147,2
2692,2
2782,2
2414,2
1399,2
976,2
2055,2
2622,2
889,2
2599,2
2433,2
1685,2
242,1
116,1
58,1
1757,1
851,1
847,1
47,1
2742,1
1611,1
103,1
1580,1
1350,1
6,1
475,1
2411,1
735,1
731,1
573,1
2866,1
1605,1
68,1
51,1
2526,1
266,1
389,1
102,1
2814,1
75,1
2634,1
2511,1
23,1
1708,1
166,1
477,1
2395,1
114,1
92,1
2,1
78,1
775,1
81,1
1,1
50,1
126,1
163,1
2249,1
2477,1
554,1
13,1
96,1
57,1
1428,1
969,1
22,1
20,1
83,1
2231,1
52,1
73,1
1513,1
1817,1
31,1
1656,1
1447,1
113,1
111,1
1108,1
164,1
303,1
304,1
1351,1
2587,1
1688,1
1546,1
2112,1
1318,1
1783,1
2672,1
1352,1
136,1
1164,1
63,1
1722,1
1098,1
2454,1
2482,1
1756,1
105,1
664,1
1547,1
603,1
2360,1
770,1
811,1
121,1
1210,1
1606,1
44,1
25,1
301,1
601,1
69,1
653,1
2507,1
259,1
858,1
1700,1
66,1
94,1
860,1
49,1
28,1
772,1
551,1
2853,1
1412,1
1507,1
1887,1
2562,1
269,1
16,1
1214,1
267,1
104,1
2854,1
152,1
779,1
2378,1
2396,1
809,1
810,1
662,1
12,1
2584,1
64,1
32,1
2535,1
76,1
1295,1
2816,1
154,1
441,1
2686,1
2666,1
1610,1
951,1
553,1
853,1
2717,1
27,1
183,1
67,1
364,1
223,1
190,1
1319,1
10,1
21,1
1155,1
738,1
1364,1
3,1
182,1
950,1
2763,1
90,1
556,1
159,1
84,1
8,1
820,1
2876,1
1867,1
1050,1
187,1
9,1
101,1
192,1
602,1
7,1
1690,1
652,1
2398,1
773,1
202,1
228,1
434,1
2851,1
859,1
45,1
2764,1
495,1
509,1
2019,1
555,1
1045,1
1879,1
1026,1
2620,1
93,1
1880,1
1707,1
17,1
821,1
2626,1
244,1
185,1
54,1
72,1
600,1
165,1
65,1
115,1
195,1
39,1
53,1
2815,1
1828,1
82,1
512,1
306,1
1213,1
363,1
85,1
1051,1
476,1
74,1
507,1
91,1
198,1
196,1
323,1
439,1
617,1
725,1
2118,1
896,1
572,1
95,1
170,1
71,1
2869,1
338,1
