album,n
8192,2
9705,2
4890,2
4891,2
3032,2
3244,2
9743,2
4793,2
18405,2
3037,2
3248,2
4789,2
4788,2
15665,2
3034,2
8657,2
9749,2
20001,2
3030,2
3029,2
4925,2
3025,2
3256,2
20013,2
15667,2
14360,2
3020,2
4070,2
4784,2
3044,2
8844,2
9583,2
19830,2
3087,2
3225,2
9710,2
4895,2
14493,2
3231,2
15648,2
19980,2
19101,2
9724,2
14497,2
4907,2
4798,2
3065,2
8875,2
3062,2
15660,2
9573,2
8675,2
3236,2
4799,2
4920,2
3047,2
14500,2
8016,2
3406,2
9207,2
15869,2
8692,2
8808,2
10078,2
18623,2
9260,2
10079,2
9257,2
14081,2
9256,2
9254,2
18628,2
18856,2
10081,2
4546,2
3611,2
5176,2
9243,2
9241,2
10084,2
18095,2
10091,2
10093,2
18643,2
3622,2
7906,2
14762,2
10077,2
10073,2
9279,2
10056,2
9298,2
4577,2
18107,2
8810,2
2649,2
9286,2
9284,2
9283,2
9282,2
9280,2
4568,2
14759,2
15379,2
14755,2
10068,2
4117,2
9271,2
2633,2
10071,2
4564,2
4563,2
9268,2
5171,2
18645,2
8806,2
14214,2
19482,2
4127,2
14009,2
15348,2
3640,2
18030,2
13999,2
4002,2
9221,2
9218,2
15343,2
4129,2
15341,2
14803,2
2505,2
10185,2
9211,2
2502,2
7846,2
8905,2
13985,2
18662,2
3653,2
15025,2
10190,2
10195,2
9225,2
14011,2
18038,2
10133,2
10108,2
5198,2
10117,2
9634,2
15097,2
2580,2
10120,2
2577,2
18073,2
2573,2
2568,2
2561,2
7864,2
18061,2
3631,2
3632,2
18054,2
14029,2
2540,2
8801,2
14017,2
15350,2
14015,2
18040,2
2655,2
2656,2
10054,2
10053,2
9396,2
8819,2
14650,2
9394,2
9389,2
8337,2
19637,2
9383,2
9961,2
2769,2
2767,2
4655,2
2765,2
15795,2
8344,2
2759,2
9375,2
8890,2
15798,2
8349,2
8353,2
7975,2
9977,2
14159,2
8359,2
14645,2
9402,2
15779,2
8308,2
15763,2
19117,2
9433,2
2820,2
14210,2
15766,2
18198,2
9930,2
19686,2
18863,2
9932,2
9429,2
4669,2
14196,2
9427,2
2800,2
9426,2
14192,2
9420,2
14632,2
2794,2
9944,2
9408,2
2790,2
9356,2
9982,2
9983,2
9312,2
15412,2
10029,2
3524,2
15411,2
8891,2
15837,2
15403,2
10036,2
14726,2
5154,2
14103,2
10046,2
10020,2
15092,2
19556,2
20326,2
3545,2
2667,2
2666,2
10050,2
10051,2
2661,2
3548,2
2660,2
10027,2
15413,2
4108,2
18145,2
20263,2
8362,2
2734,2
9993,2
4261,2
14147,2
9349,2
9995,2
8368,2
15815,2
2726,2
15427,2
15416,2
20278,2
18139,2
2716,2
18135,2
2711,2
4617,2
15421,2
7950,2
4607,2
18132,2
3518,2
19206,2
6853,2
6074,2
17316,2
6134,2
6133,2
6128,2
6127,2
6126,2
11359,2
7277,2
6114,2
7293,2
7282,2
7283,2
6109,2
12999,2
6102,2
21648,2
11334,2
6137,2
17296,2
7261,2
7259,2
17270,2
11418,2
7239,2
11415,2
7241,2
11404,2
16449,2
11401,2
11400,2
6155,2
16445,2
11394,2
16444,2
7253,2
7254,2
13007,2
6099,2
6179,2
11287,2
6080,2
13032,2
6079,2
11295,2
11291,2
17348,2
11288,2
1046,2
17333,2
17350,2
6071,2
11281,2
11280,2
1053,2
11279,2
11278,2
6082,2
11303,2
11304,2
16416,2
11324,2
17334,2
21633,2
21632,2
11322,2
11321,2
7298,2
7301,2
11314,2
13022,2
11312,2
17341,2
11309,2
11308,2
11306,2
7237,2
11432,2
11274,2
17181,2
11561,2
11559,2
7154,2
11555,2
6282,2
6281,2
6279,2
758,2
779,2
759,2
761,2
764,2
768,2
11542,2
6273,2
11538,2
11562,2
17176,2
11568,2
734,2
17156,2
702,2
17157,2
21914,2
17158,2
21910,2
17159,2
17160,2
11584,2
11581,2
17166,2
12803,2
11578,2
12806,2
731,2
778,2
780,2
11437,2
6217,2
6233,2
16499,2
21799,2
11486,2
7194,2
6220,2
6219,2
6205,2
6265,2
6200,2
6197,2
6196,2
7215,2
11445,2
16469,2
16468,2
6234,2
16501,2
7186,2
17217,2
11527,2
11523,2
16516,2
17198,2
16514,2
17205,2
7176,2
11508,2
21819,2
813,2
7180,2
819,2
17214,2
11498,2
7185,2
1059,2
11273,2
17150,2
5931,2
5948,2
13196,2
13205,2
7413,2
17473,2
21383,2
16318,2
13215,2
5921,2
16316,2
13219,2
13220,2
5926,2
1317,2
7421,2
5924,2
11097,2
13193,2
21404,2
1279,2
13173,2
11122,2
13178,2
11114,2
16333,2
11112,2
5956,2
1263,2
13183,2
11109,2
5954,2
13188,2
21409,2
1275,2
11101,2
7423,2
13228,2
1246,2
10999,2
1388,2
7449,2
5880,2
17513,2
11006,2
11005,2
7452,2
7456,2
5920,2
