location,n
10476,20
475,20
5204,20
10570,20
11335,20
8641,20
7362,20
7055,20
5442,20
4148,20
7658,20
7114,20
11345,20
8687,20
5591,20
9355,20
739,20
11086,20
10448,20
6976,20
1763,20
12121,20
9479,20
9489,20
8404,20
6756,20
7336,20
217,20
1017,20
5738,20
11107,20
7959,20
4502,20
11404,20
4235,20
8733,20
9081,20
3658,20
5741,20
8291,20
3498,20
5821,20
11406,20
388,20
1804,20
3678,20
2444,20
6209,20
11696,20
11416,20
11285,20
1032,20
11515,20
3849,20
5456,20
1499,20
5735,20
3937,20
6166,20
8995,20
11633,20
2591,20
11979,19
11500,19
6111,19
745,19
3214,19
11606,19
11822,19
12045,19
694,19
5379,19
4017,19
11189,19
1243,19
6016,19
5041,19
9450,19
4030,19
9582,19
7533,19
3465,19
10668,19
7647,19
7710,19
3100,19
993,19
9054,19
9254,19
11517,19
7689,19
5483,19
7470,19
5132,19
5057,19
10663,19
3381,19
2728,19
1028,19
12118,19
581,19
12140,19
10026,19
5487,19
5627,19
5439,19
3676,19
10982,19
10250,19
10547,19
324,19
1453,19
1579,19
2417,19
3315,19
9192,19
7077,19
4682,19
4728,19
5425,19
7452,19
11314,19
4746,19
2179,19
9069,19
6800,19
7320,19
5372,19
8352,19
5720,19
10961,19
479,18
4610,18
11558,18
12142,18
7230,18
711,18
3292,18
4973,18
11726,18
8245,18
9461,18
1909,18
2912,18
8285,18
3380,18
2699,18
5342,18
7809,18
9432,18
9975,18
9141,18
10870,18
11628,18
2194,18
8759,18
5558,18
2489,18
7132,18
1742,18
3362,18
8272,18
7240,18
6914,18
5629,18
11479,18
7049,18
7672,18
4699,18
5278,18
3415,18
11289,18
11811,18
5201,18
3861,18
3516,18
3173,18
25,18
12096,18
7756,18
11534,18
2240,18
10407,18
10003,18
6521,18
9066,18
313,18
4011,18
11898,18
6372,18
3999,18
9429,18
5534,18
9169,18
8420,18
10797,18
11561,18
11127,18
12085,18
1262,18
3848,18
12011,18
8949,18
10970,18
8273,18
698,17
7745,17
1010,17
10087,17
3416,17
10839,17
6139,17
5450,17
10612,17
7653,17
3283,17
950,17
7226,17
3451,17
3306,17
5519,17
2949,17
10836,17
3378,17
5156,17
1232,17
9346,17
9325,17
10721,17
7198,17
5670,17
3953,17
10585,17
627,17
9202,17
3287,17
12074,17
7802,17
837,17
9927,17
4185,17
4143,17
3150,17
4772,17
10566,17
1832,17
9856,17
6370,17
6816,17
5692,17
12102,17
8091,17
7438,17
9075,17
7717,17
8729,17
5448,17
10897,17
7300,17
6026,17
4771,17
8508,17
1439,17
10910,17
4435,17
63,17
849,17
10930,17
4580,17
2556,17
3043,17
9987,17
4998,17
2675,17
6108,17
5231,17
2269,17
3838,17
5010,17
7572,17
3727,17
11384,17
11347,17
12114,17
614,16
2902,16
7020,16
8818,16
2435,16
2872,16
1278,16
1567,16
1975,16
5966,16
6545,16
9382,16
11741,16
8355,16
6267,16
11383,16
11809,16
482,16
2613,16
5020,16
7949,16
11488,16
8367,16
12082,16
4171,16
11063,16
9239,16
